OID_,SAMPLE_ID,DIST_M,NEAR_RANK,AHA_ID,ZIP,AHA_ID_lon,AHA_ID_lat,ZIP_lon,ZIP_lat,BIN,STATE_ABBR,Google Maps,Bing Maps,ESRI Routing Service,OSRM,OSMNx,ArcGIS Pro,Total_Kilometers_Esri_Desktop
5328,3328,40594.97845698772,2,6730015.0,73086,-96.64620469,34.73736427,-96.986302458,34.503135249,16-30,OK,34.833333333333336,35.983333333333334,33.87468130522569,39.126666666666665,32.016666666666666,33.91955884,52.93121511
5603,3603,28806.436919334035,2,6860516.0,85738,-110.94412269,32.24012237,-110.926264,32.499447,16-30,AZ,34.85,38.21666666666667,32.655792309848145,34.416666666666664,27.016666666666666,33.84620831,33.86713099
4583,2583,40751.57669795063,3,6390005.0,33853,-81.50963303,27.53922799,-81.58081566299998,27.901475514,16-30,FL,34.85,38.38333333333333,33.895693208888765,39.54,30.383333333333333,33.80671049,45.77545333
4872,2872,36206.624505185806,1,6432620.0,61479,-89.59106892,40.70215067,-89.664581,41.023373745,16-30,IL,34.85,33.75,35.616005277961314,47.11833333333333,37.016666666666666,33.36731633,43.67022526
5961,3961,32491.558347462524,2,6380180.0,30044,-84.39584800999998,33.80999001,-84.073781622,33.926730036,16-30,GA,34.86666666666667,36.96666666666667,36.10760700714468,35.873333333333335,26.533333333333335,35.9595727,41.3552037
3970,1970,14138.406585831244,24,6210747.0,11377,-73.99866952,40.63936883,-73.906459944,40.745594078,0-15,NY,34.9,28.3,41.72304934742949,22.763333333333332,18.566666666666663,37.38668662,20.84554781
5160,3160,41379.33468037111,1,6630019.0,63964,-90.44285102,36.787031,-90.438012953,37.159874362,16-30,MO,34.916666666666664,35.36666666666667,33.76119297203165,46.97833333333333,40.766666666666666,31.79938102,52.02063061
4190,2190,32251.373382779344,2,6214775.0,11940,-73.11727041999998,40.90567537,-72.756373927,40.809442673,16-30,NY,34.916666666666664,34.416666666666664,34.54501717282365,38.10333333333333,0.0,36.61245486,48.72473598
4850,2850,28098.30222853277,22,6431926.0,60161,-88.14104102,42.05300501,-87.864462,41.906695,16-30,IL,34.916666666666664,31.816666666666663,30.40701391750209,32.37,25.55,33.49023579,34.26595031
3835,1835,20048.091883894544,5,6933679.0,90803,-118.34370034,33.81259607,-118.13600682,33.761656946,0-15,CA,34.916666666666664,34.0,31.813315007120487,27.686666666666667,20.983333333333334,29.80600895,27.13875063
